date,open,high,low,close,volume
12/18/03,10100,10170,10060,10100,
12/19/03,10240,10300,10220,10280,
12/22/03,10220,10390,10220,10310,
12/24/03,10390,10410,10320,10350,
12/25/03,10360,10390,10310,10390,
12/26/03,10370,10460,10330,10440,
12/29/03,10450,10570,10450,10460,
12/30/03,10640,10730,10610,10710,
1/5/04,10830,10880,10800,10870,
1/6/04,10950,10960,10790,10850,
1/7/04,10850,10860,10710,10740,
1/8/04,10760,10890,10720,10870,
1/9/04,10930,11020,10850,10920,
1/13/04,10940,10960,10780,10850,
1/14/04,10750,10880,10720,10850,
1/15/04,10860,10880,10640,10650,
1/16/04,10710,10860,10710,10830,
1/19/04,10950,11050,10930,11020,
1/20/04,11050,11200,10970,11050,
1/21/04,11040,11170,10970,10980,
1/22/04,11080,11120,10990,11010,
1/23/04,10980,11140,10940,11090,
1/26/04,10970,11020,10860,10980,
1/27/04,11080,11100,10910,10920,
1/28/04,10810,10900,10790,10880,
1/29/04,10730,10810,10660,10810,
1/30/04,10750,10840,10730,10780,
2/2/04,10780,10860,10750,10790,
2/3/04,10780,10800,10500,10630,
2/4/04,10600,10640,10410,10420,
2/5/04,10370,10480,10350,10470,
2/6/04,10490,10500,10400,10440,
2/9/04,10550,10590,10350,10380,
2/10/04,10430,10460,10290,10370,
2/12/04,10490,10560,10450,10450,
2/13/04,10460,10570,10410,10560,
2/16/04,10560,10620,10530,10540,
2/17/04,10550,10720,10520,10670,
2/18/04,10770,10800,10670,10700,
2/19/04,10780,10820,10720,10760,
2/20/04,10730,10770,10680,10720,
2/23/04,10750,10900,10730,10890,
2/24/04,10830,10860,10630,10660,
2/25/04,10640,10730,10610,10680,
2/26/04,10740,10830,10690,10820,
2/27/04,10860,11080,10850,11040,
3/1/04,11120,11340,11110,11280,
3/2/04,11380,11400,11280,11370,
3/3/04,11380,11440,11310,11340,
3/4/04,11340,11480,11330,11440,
3/5/04,11530,11580,11410,11580,
3/8/04,11610,11650,11530,11550,
3/9/04,11450,11550,11440,11540,
3/10/04,11480,11500,11350,11440,
3/11/04,11260,11370,11210,11340,
3/12/04,11130,11150,10990,11130,
3/15/04,11270,11310,11220,11260,
3/16/04,11200,11270,11180,11210,
3/17/04,11250,11440,11240,11390,
3/18/04,11570,11610,11400,11420,
3/19/04,11360,11450,11320,11410,
3/22/04,11260,11310,11240,11260,
3/23/04,11100,11280,11020,11260,
3/24/04,11260,11330,11180,11300,
3/25/04,11420,11510,11370,11510,
3/26/04,11740,11790,11700,11730,
3/29/04,11750,11850,11660,11740,
3/30/04,11860,11870,11670,11710,
3/31/04,11720,11790,11590,11770,
4/1/04,11810,11830,11650,11680,
4/2/04,11740,11850,11710,11820,
4/5/04,12000,12010,11930,11970,
4/6/04,12060,12110,11940,12110,
4/7/04,12000,12110,11990,12010,
4/8/04,12020,12130,11960,12120,
4/9/04,11970,11990,11860,11890,
4/12/04,11930,12090,11920,12070,
4/13/04,12150,12180,12080,12120,
4/14/04,12050,12140,12030,12100,
4/15/04,12130,12190,11770,11810,
4/16/04,11830,11870,11680,11870,
4/19/04,11890,11890,11620,11730,
4/20/04,11830,12040,11770,11970,
4/21/04,11940,12010,11870,11920,
4/22/04,12020,12080,11950,11970,
